Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,1.266667,1.666667,1.169333,1.592667,1.592667,281494500
2010-06-30,1.719333,2.028000,1.553333,1.588667,1.588667,257806500
2010-07-01,1.666667,1.728000,1.351333,1.464000,1.464000,123282000
2010-07-02,1.533333,1.540000,1.247333,1.280000,1.280000,77097000
2010-07-06,1.333333,1.333333,1.055333,1.074000,1.074000,103003500
2010-07-07,1.093333,1.108667,0.998667,1.053333,1.053333,103825500
2010-07-08,1.076000,1.168000,1.038000,1.164000,1.164000,115671000
2010-07-09,1.172000,1.193333,1.103333,1.160000,1.160000,60759000
2010-07-12,1.196667,1.204667,1.133333,1.136667,1.136667,33037500
2010-07-13,1.159333,1.242667,1.126667,1.209333,1.209333,40201500
2010-07-14,1.196000,1.343333,1.184000,1.322667,1.322667,62928000
2010-07-15,1.329333,1.433333,1.266667,1.326000,1.326000,56097000
2010-07-16,1.380000,1.420000,1.336667,1.376000,1.376000,39319500
2010-07-19,1.424667,1.483333,1.394667,1.460667,1.460667,37297500
2010-07-20,1.456667,1.456667,1.336667,1.353333,1.353333,27379500
2010-07-21,1.377333,1.393333,1.300000,1.348000,1.348000,18787500
2010-07-22,1.366667,1.416667,1.358000,1.400000,1.400000,14367000
2010-07-23,1.412667,1.437333,1.404000,1.419333,1.419333,9804000
2010-07-26,1.433333,1.433333,1.353333,1.396667,1.396667,13833000
2010-07-27,1.394000,1.412000,1.350667,1.370000,1.370000,9295500
2010-07-28,1.370000,1.393333,1.367333,1.381333,1.381333,7008000
2010-07-29,1.384667,1.392000,1.333333,1.356667,1.356667,9240000
2010-07-30,1.346667,1.362667,1.303333,1.329333,1.329333,6403500
2010-08-02,1.366667,1.398000,1.355333,1.394667,1.394667,10771500
2010-08-03,1.400000,1.463333,1.388000,1.463333,1.463333,18457500
2010-08-04,1.463333,1.478667,1.390000,1.417333,1.417333,13695000
2010-08-05,1.436000,1.436667,1.336667,1.363333,1.363333,11943000
2010-08-06,1.340000,1.344000,1.301333,1.306000,1.306000,11128500
2010-08-09,1.326667,1.332000,1.296667,1.306667,1.306667,12190500
2010-08-10,1.310000,1.310000,1.254667,1.268667,1.268667,19219500
2010-08-11,1.246000,1.258667,1.190000,1.193333,1.193333,11964000
2010-08-12,1.186667,1.193333,1.159333,1.173333,1.173333,10365000
2010-08-13,1.212000,1.230000,1.177333,1.221333,1.221333,9510000
2010-08-16,1.230000,1.253333,1.217333,1.252000,1.252000,7287000
2010-08-17,1.264000,1.293333,1.252000,1.276667,1.276667,6718500
2010-08-18,1.306000,1.306000,1.240000,1.251333,1.251333,9019500
2010-08-19,1.236000,1.283333,1.222000,1.252667,1.252667,8686500
2010-08-20,1.243333,1.274000,1.234000,1.273333,1.273333,4440000
2010-08-23,1.272667,1.359333,1.266667,1.342000,1.342000,16321500
2010-08-24,1.283333,1.314000,1.263333,1.280000,1.280000,10096500
2010-08-25,1.277333,1.332000,1.237333,1.326667,1.326667,7549500
2010-08-26,1.326000,1.351333,1.306667,1.316667,1.316667,6507000
2010-08-27,1.316667,1.324667,1.300000,1.313333,1.313333,5694000
2010-08-30,1.313333,1.346000,1.307333,1.324667,1.324667,10992000
2010-08-31,1.310667,1.319333,1.288667,1.298667,1.298667,3016500
2010-09-01,1.308000,1.379333,1.306667,1.363333,1.363333,7423500
2010-09-02,1.358000,1.416000,1.354000,1.404000,1.404000,7306500
2010-09-03,1.391333,1.420000,1.377333,1.403333,1.403333,6519000
2010-09-07,1.374000,1.400000,1.366667,1.369333,1.369333,3651000
2010-09-08,1.377333,1.396667,1.373333,1.393333,1.393333,4326000
2010-09-09,1.400000,1.403333,1.379333,1.380667,1.380667,5643000
2010-09-10,1.383333,1.395333,1.317333,1.344667,1.344667,5799000
2010-09-13,1.392667,1.393333,1.366667,1.381333,1.381333,5412000
2010-09-14,1.369333,1.440000,1.368667,1.408000,1.408000,9820500
2010-09-15,1.398667,1.466667,1.386000,1.465333,1.465333,10269000
2010-09-16,1.476667,1.544000,1.389333,1.396000,1.396000,40267500
2010-09-17,1.401333,1.421333,1.320000,1.348667,1.348667,17977500
2010-09-20,1.378000,1.423333,1.344000,1.404000,1.404000,14212500
2010-09-21,1.392667,1.436667,1.378000,1.384667,1.384667,11940000
2010-09-22,1.391333,1.396667,1.320000,1.324667,1.324667,14443500
2010-09-23,1.326000,1.342667,1.300000,1.304000,1.304000,10021500
2010-09-24,1.330000,1.346000,1.310000,1.340000,1.340000,8683500
2010-09-27,1.360000,1.387333,1.336667,1.368667,1.368667,6279000
2010-09-28,1.402667,1.432667,1.384000,1.426667,1.426667,18217500
2010-09-29,1.412667,1.468667,1.408667,1.465333,1.465333,29539500
2010-09-30,1.466667,1.476667,1.346000,1.360667,1.360667,32937000
2010-10-01,1.379333,1.383333,1.354000,1.373333,1.373333,8965500
2010-10-04,1.362000,1.411333,1.353333,1.399333,1.399333,9654000
2010-10-05,1.410000,1.418667,1.400667,1.408000,1.408000,4980000
2010-10-06,1.404000,1.417333,1.354667,1.364000,1.364000,4701000
2010-10-07,1.371333,1.376000,1.356000,1.362000,1.362000,2115000
2010-10-08,1.362000,1.386000,1.359333,1.362000,1.362000,4017000
2010-10-11,1.362667,1.380000,1.338000,1.349333,1.349333,2568000
2010-10-12,1.346667,1.352000,1.335333,1.349333,1.349333,3660000
2010-10-13,1.376000,1.390000,1.357333,1.369333,1.369333,4773000
2010-10-14,1.400000,1.402000,1.360000,1.383333,1.383333,4422000
2010-10-15,1.392667,1.393333,1.350000,1.369333,1.369333,4270500
2010-10-18,1.368000,1.376000,1.348000,1.348667,1.348667,2442000
2010-10-19,1.346667,1.360667,1.333333,1.336667,1.336667,3678000
2010-10-20,1.344000,1.379333,1.336000,1.376667,1.376667,4687500
2010-10-21,1.374000,1.396667,1.363333,1.383333,1.383333,6256500
2010-10-22,1.378667,1.395333,1.370000,1.381333,1.381333,2416500
2010-10-25,1.396000,1.398667,1.382000,1.390000,1.390000,1777500
2010-10-26,1.386667,1.458000,1.367333,1.424000,1.424000,9913500
2010-10-27,1.416667,1.425333,1.376667,1.400000,1.400000,5347500
2010-10-28,1.426000,1.433333,1.397333,1.412667,1.412667,3363000
2010-10-29,1.409333,1.456667,1.403333,1.456000,1.456000,4209000
2010-11-01,1.462667,1.516667,1.420667,1.427333,1.427333,6837000
2010-11-02,1.445333,1.458667,1.403333,1.416667,1.416667,4837500
2010-11-03,1.418667,1.500000,1.410667,1.451333,1.451333,5589000
2010-11-04,1.506667,1.688667,1.476667,1.660000,1.660000,28110000
2010-11-05,1.658000,1.664667,1.581333,1.629333,1.629333,15165000
2010-11-08,1.633333,1.666667,1.602000,1.665333,1.665333,7642500
2010-11-09,1.666667,1.712667,1.603333,1.642000,1.642000,14346000
2010-11-10,1.632000,1.998000,1.603333,1.957333,1.957333,45907500
2010-11-11,1.906667,1.940000,1.822000,1.869333,1.869333,29179500
2010-11-12,1.883333,2.033333,1.871333,1.989333,1.989333,40936500
2010-11-15,2.014667,2.196000,2.014667,2.053333,2.053333,39343500
2010-11-16,2.066667,2.093333,1.894667,1.978000,1.978000,20214000
2010-11-17,2.013333,2.050000,1.907333,1.966000,1.966000,11250000
2010-11-18,2.044667,2.049333,1.928000,1.992667,1.992667,14341500
2010-11-19,2.010667,2.091333,1.980000,2.066000,2.066000,17257500
2010-11-22,2.104667,2.230000,2.100000,2.226667,2.226667,22945500
2010-11-23,2.219333,2.378667,2.146000,2.304667,2.304667,23667000
2010-11-24,2.351333,2.398000,2.288667,2.364667,2.364667,21375000
2010-11-26,2.373333,2.400000,2.316667,2.354667,2.354667,5259000
2010-11-29,2.360667,2.396667,2.222000,2.288667,2.288667,17184000
2010-11-30,2.249333,2.355333,2.227333,2.355333,2.355333,33339000
2010-12-01,2.391333,2.428000,2.230000,2.290000,2.290000,19488000
2010-12-02,2.267333,2.286667,2.080000,2.156667,2.156667,30105000
2010-12-03,2.134000,2.150000,2.058000,2.099333,2.099333,17401500
2010-12-06,2.090000,2.096667,1.970667,2.020667,2.020667,19116000
2010-12-07,2.032667,2.160000,2.003333,2.104000,2.104000,19669500
2010-12-08,2.165333,2.166000,2.101333,2.158000,2.158000,9900000
2010-12-09,2.167333,2.181333,2.110000,2.136667,2.136667,6090000
2010-12-10,2.136667,2.194667,2.075333,2.101333,2.101333,6441000
2010-12-13,2.109333,2.118000,2.026667,2.036667,2.036667,6156000
2010-12-14,2.019333,2.026000,1.850667,1.902000,1.902000,26485500
2010-12-15,1.911333,1.998000,1.902000,1.973333,1.973333,11143500
2010-12-16,2.000000,2.060667,1.976667,2.054000,2.054000,11851500
2010-12-17,2.089333,2.102667,2.047333,2.090667,2.090667,12195000
