"total_steps","common_active_calories","floors_ascended","max_heart_rate","min_avg_heart_rate","average_stress","resting_heart_rate","max_stress","abnormalhr_alerts_count","max_avg_heart_rate","total_steps_goal","user_floors_ascended_goal","moderate_intensity_minutes","total_calories","bodybattery_charged","floors_descended","bmr_calories","food_calories_remaining","common_total_calories","average_steps","vigorous_intensity_minutes","total_distance","common_total_distance","active_calories","food_calories_consumed","id","athlete_id","calendar_date","user_intensity_goal","min_heart_rate","body_battery_drained","sleep_duration"
9570,nan,16,137,43,24,47,77,0,134,nan,10,33,2409,52,13,1877,2409,2409,0,23,7711,9701,532,nan,1,1,"2022-11-14",150,42,44,14340
19681,nan,11,157,41,25,43,98,0,155,nan,10,4,3005,75,9,1882,3005,3005,0,83,20748,20748,1123,nan,3,1,"2022-11-12",150,40,65,27960
12438,nan,40,105,44,25,46,87,0,102,nan,10,53,2251,32,41,1892,2251,2251,0,2,9685,9685,359,nan,4,1,"2022-11-11",150,42,60,23100
21469,nan,171,168,43,28,46,94,0,167,nan,10,46,3046,61,167,1892,3046,3046,0,71,18434,18434,1154,nan,5,1,"2022-11-10",150,36,54,22380
19606,nan,26,148,40,28,42,89,0,148,nan,10,2,2814,78,24,1892,2814,2814,0,60,19392,19392,922,nan,6,1,"2022-11-09",150,39,62,28080
11910,nan,20,136,41,20,46,74,0,136,nan,10,28,2379,43,15,1887,2582,2582,0,23,9544,10493,492,nan,7,1,"2022-11-08",150,39,65,23015
14898,nan,10,113,41,29,42,99,0,109,nan,10,0,2172,80,10,1881,2770,2770,0,3,11941,52249,291,nan,8,1,"2022-11-07",150,40,63,22320
17397,nan,13,155,42,25,44,94,0,153,nan,10,1,2816,57,13,1883,2816,2816,0,64,17631,17631,933,nan,9,1,"2022-11-06",150,41,59,23460
21867,nan,15,150,40,24,42,96,0,150,nan,10,2,3051,76,15,1882,3051,3051,0,81,22532,22532,1169,nan,10,1,"2022-11-05",150,39,70,24540
18474,nan,5,155,40,22,42,93,0,155,nan,10,3,2707,70,6,1886,2707,2707,0,49,17825,17825,821,nan,11,1,"2022-11-04",150,37,69,28440
16804,nan,13,132,38,20,40,89,0,121,nan,10,55,2313,68,17,1892,2313,2313,0,3,13526,13526,421,nan,12,1,"2022-11-03",150,34,66,29025
15129,nan,21,133,40,25,42,99,0,126,nan,10,3,2292,72,20,1887,2943,2943,0,12,12115,57056,405,nan,13,1,"2022-11-02",150,39,68,26940
18259,nan,27,146,40,19,42,96,0,145,nan,10,3,2815,65,26,1887,2815,2815,0,64,18322,18322,928,nan,14,1,"2022-11-01",150,39,74,28980
13775,nan,21,129,40,26,45,94,0,125,nan,10,1,2297,69,18,1889,3089,3089,0,3,11090,63298,408,nan,15,1,"2022-10-31",150,40,61,27540
15312,nan,18,154,39,24,44,99,0,153,nan,10,0,2779,60,15,1888,2779,2779,0,62,15879,15879,891,nan,16,1,"2022-10-30",150,38,72,30540
15283,nan,15,167,40,27,40,97,0,162,nan,10,5,2428,76,19,1889,3079,3079,0,12,12416,53237,539,nan,18,1,"2022-10-28",150,39,62,27840
12436,nan,36,147,38,22,40,95,0,138,nan,10,4,2191,47,33,1831,183,2191,0,2,9980,9980,360,2008,19,1,"2022-10-27",150,37,62,23280
15341,nan,20,159,42,25,45,92,0,158,nan,10,2,2694,65,17,1831,179,2694,0,56,15320,15320,863,2515,20,1,"2022-10-26",150,40,59,31140
21379,nan,11,165,41,24,43,95,0,162,nan,10,3,2941,76,14,1899,362,2941,0,55,20253,20253,1042,2579,21,1,"2022-10-25",150,39,63,30300
13177,nan,33,152,39,21,46,96,0,149,nan,10,46,2662,49,28,1893,48,2662,0,15,10609,12920,769,2614,22,1,"2022-10-24",150,38,68,26880
12509,nan,13,158,42,30,44,99,0,157,nan,10,17,3214,69,11,1886,765,3214,0,68,10035,58411,1328,2449,23,1,"2022-10-23",150,42,55,30900
14726,nan,10,180,40,20,41,98,0,176,nan,10,0,2814,68,10,1897,508,2814,0,59,14510,14510,917,2306,24,1,"2022-10-22",150,39,56,34860
12288,nan,58,115,41,22,42,74,0,113,nan,10,69,2280,36,60,1901,-431.0,2280,0,1,9366,9366,379,2711,25,1,"2022-10-21",150,40,70,27840
14281,nan,77,158,43,27,49,97,0,154,nan,10,56,2417,43,70,1901,236,3061,0,44,10919,24239,516,2826,26,1,"2022-10-20",150,43,47,24420
23365,nan,58,159,46,31,47,90,0,158,nan,10,45,3130,59,52,1901,333,3130,0,64,21873,21873,1229,2797,27,1,"2022-10-19",150,45,55,26040
14837,nan,9,158,43,27,45,85,0,157,nan,10,0,2717,64,9,1899,-514.0,2717,0,57,14629,14629,818,3231,28,1,"2022-10-18",150,41,63,19140
13235,nan,12,147,42,28,46,100,0,147,nan,10,3,2290,61,14,1899,750,3049,0,15,10674,42882,391,2299,29,1,"2022-10-17",150,37,51,23460
12958,nan,11,159,42,28,45,99,0,155,nan,10,49,2377,73,15,1901,366,3130,0,44,10352,57804,476,2764,30,1,"2022-10-16",150,40,55,30240
15258,nan,8,132,39,16,42,78,0,123,nan,10,1,2403,59,11,1906,-456.0,2403,0,5,12229,12229,497,2859,31,1,"2022-10-15",150,39,47,32280
20891,nan,4,117,42,16,44,93,0,112,nan,10,0,2444,55,8,1912,-52.0,2444,0,1,16755,16755,532,2496,32,1,"2022-10-14",150,40,63,19500
11271,nan,21,126,41,18,43,84,0,122,nan,10,1,2179,58,18,1904,-406.0,2179,0,2,9030,9030,275,2585,33,1,"2022-10-13",150,40,73,26100
8041,nan,10,115,46,26,49,90,0,100,nan,10,0,2141,49,12,1910,304,2141,0,1,6476,6476,231,1837,34,1,"2022-10-12",150,45,50,24780
6726,nan,6,94,39,24,41,84,0,90,nan,10,0,2029,67,4,1910,-304.0,2029,0,1,5419,5419,119,2333,35,1,"2022-10-11",150,38,64,28320
31619,nan,6,145,44,22,45,87,0,144,nan,10,1,3213,61,7,1910,-44.0,3213,0,62,28913,28913,1303,3257,36,1,"2022-10-10",150,42,55,27720
18717,nan,1,138,43,26,46,91,0,137,nan,10,2,2498,35,1,1910,-1279.0,2498,0,15,15053,15053,588,3777,37,1,"2022-10-09",150,41,45,28200
18854,nan,20,164,41,22,46,81,0,163,nan,10,0,2801,48,20,1910,231,2801,0,56,19226,19226,891,2570,38,1,"2022-10-08",150,40,59,26580
18251,nan,17,153,43,23,45,83,0,149,nan,10,2,2859,74,21,1903,15,2859,0,56,19002,19002,956,2844,39,1,"2022-10-07",150,39,54,24960
15309,nan,97,170,45,26,49,83,0,168,nan,10,2,2746,33,97,1906,258,2746,0,54,14610,14610,840,2488,40,1,"2022-10-06",150,41,43,25680
7305,nan,2,100,45,25,50,92,0,99,nan,10,0,2028,37,2,1906,-807.0,2028,0,0,5874,5874,122,2835,41,1,"2022-10-05",150,42,38,21720
19052,nan,13,158,46,25,48,92,0,158,nan,10,2,2907,48,16,1909,634,2907,0,58,18750,18750,998,2273,42,1,"2022-10-04",150,44,54,25860
4919,nan,6,150,47,27,49,87,0,147,nan,10,17,3069,48,6,1899,68,3069,0,88,3998,46923,1170,3001,43,1,"2022-10-03",150,46,37,20040
19023,nan,13,148,42,19,43,84,0,146,nan,10,2,2992,65,17,1834,-546.0,2992,0,88,20372,20372,1158,3538,44,1,"2022-10-02",150,39,44,31740
19159,nan,18,149,41,17,43,85,0,149,nan,10,0,3111,52,20,1912,485,3111,0,89,20174,20174,1199,2626,45,1,"2022-10-01",150,40,86,35640
12179,nan,50,150,36,35,47,90,0,133,nan,10,20,2311,22,54,1920,-992.0,2311,0,5,9721,9721,391,3303,46,1,"2022-09-30",150,36,35,15660
7654,nan,30,105,43,30,48,96,0,101,nan,10,14,2166,46,36,1920,-1012.0,2166,0,2,6272,6272,246,3178,47,1,"2022-09-29",150,40,33,18808
16883,nan,26,138,41,24,46,98,0,134,nan,10,0,2755,53,24,1920,-454.0,2755,0,63,16963,16963,835,3209,48,1,"2022-09-28",150,38,43,21300
18492,nan,21,145,41,21,45,78,0,141,nan,10,3,2752,53,20,1906,-202.0,2752,0,61,18107,18107,846,2954,49,1,"2022-09-27",150,40,46,25920
18943,nan,21,145,41,18,44,84,0,145,nan,10,1,2686,64,20,1906,-134.0,2686,0,61,18386,18386,780,2820,50,1,"2022-09-26",150,40,55,29940
16886,nan,96,164,44,20,46,84,0,159,nan,10,18,2700,40,94,1906,194,2700,0,57,15342,15342,794,2506,51,1,"2022-09-25",150,43,56,24780
18646,nan,125,161,45,24,47,76,0,159,nan,10,1,2943,43,127,1906,-92.0,2943,0,78,17344,17344,1037,3035,52,1,"2022-09-24",150,43,42,18960
19210,nan,143,164,44,32,48,99,0,161,nan,10,5,2980,50,142,1906,117,2980,0,62,17902,17902,1074,2863,54,1,"2022-09-22",150,41,36,26580
16632,nan,11,136,42,22,44,87,0,135,nan,10,3,2718,70,14,1906,57,2718,0,60,16547,16547,812,2661,55,1,"2022-09-21",150,40,46,32220
19761,nan,20,145,43,20,45,99,0,143,nan,10,28,2919,55,20,1899,-633.0,2919,0,68,19044,19044,1020,3552,56,1,"2022-09-20",150,42,64,29040
18854,nan,24,163,45,22,47,78,0,162,nan,10,28,2954,60,25,1903,353,2954,0,59,18586,18586,1051,2601,57,1,"2022-09-19",150,44,44,28080
16179,nan,99,171,39,21,46,96,0,170,nan,10,26,2878,39,101,1903,-184.0,2878,0,60,14574,14574,975,3062,58,1,"2022-09-18",150,38,73,25500
13830,nan,105,166,48,39,48,95,0,164,nan,10,1,2779,28,103,1903,-283.0,2779,0,59,12921,12921,876,3062,59,1,"2022-09-17",150,47,26,14460
